1/2007	one two thousand seventh
12639/12640	twelve thousand six hundred thirty nine twelve thousand six hundred fortieths
10/59	ten fifty ninths
11/12	eleven twelfths
5/7	five sevenths
11/2013	eleven two thousand thirteenths
95/2005	ninety five two thousand fifths
37 / 38	thirty seven thirty eighths
451/452	four hundred fifty one four hundred fifty seconds
7½	seven and a half
1½	one and a half
2/4	two quarters
1/4	one quarter
1/9	one ninth
3/4	three quarters
6/8	six eighths
71/2009	seventy one two thousand ninths
5/5	five fifths
4½	four and a half
7½	seven and a half
22/29	twenty two twenty ninths
17/18	seventeen eighteenths
4/4	four quarters
3/10	three tenths
1995/20	one thousand nine hundred ninety five twentieths
1/5	one fifth
18/9	eighteen ninths
11/10	eleven tenths
7/28	seven twenty eighths
¼	one quarter
81/100	eighty one one hundredths
31/32	thirty one thirty seconds
669/8	six hundred sixty nine eighths
24/7	twenty four sevenths
63/64	sixty three sixty fourths
25/26	twenty five twenty sixths
34/1923	thirty four one thousand nine hundred twenty thirds
2/3	two thirds
144/407	one hundred forty four four hundred sevenths
3½	three and a half
27/3	twenty seven thirds
20/20	twenty twentieths
7/11	seven elevenths
2004/5	two thousand four fifths
142/1	one hundred forty two over one
1770/71	one thousand seven hundred seventy seventy firsts
189/159	one hundred eighty nine one hundred fifty ninths
2½	two and a half
875/6	eight hundred seventy five sixths
2/3	two thirds
247/861	two hundred forty seven eight hundred sixty firsts
949/1542	nine hundred forty nine one thousand five hundred forty seconds
49/100	forty nine one hundredths
2012/ 1	two thousand twelve over one
1968/9	one thousand nine hundred sixty eight ninths
4 1/2	four and a half
62/0	sixty two zeroths
7/25	seven twenty fifths
143/237	one hundred forty three two hundred thirty sevenths
1927/32	one thousand nine hundred twenty seven thirty seconds
1/16	one sixteenth
3/4	three quarters
24 1/2	twenty four and a half
3/4	three quarters
45/48	forty five forty eighths
2658/87	two thousand six hundred fifty eight eighty sevenths
3/24	three twenty fourths
7/28	seven twenty eighths
1979/570	one thousand nine hundred seventy nine five hundred seventieths
45/46	forty five forty sixths
2¾	two and three quarters
1/2	one half
1½	one and a half
5/16	five sixteenths
5/31	five thirty firsts
1980/21	one thousand nine hundred eighty twenty firsts
1½	one and a half
1/3,000	one three thousandth
2½	two and a half
35/2010	thirty five two thousand tenths
8/8	eight eighths
2003/4	two thousand three quarters
7/549	seven five hundred forty ninths
1174/64	one thousand one hundred seventy four sixty fourths
4046/58	four thousand forty six fifty eighths
2/2011	two two thousand elevenths
20/1	twenty over one
12/1	twelve over one
1/6	one sixth
9/9	nine ninths
-707/13	minus seven hundred seven thirteenths
68/5	sixty eight fifths
48/9	forty eight ninths
20½	twenty and a half
1869/70	one thousand eight hundred sixty nine seventieths
3/7	three sevenths
59/1	fifty nine over one
1/2	one half
2 1/2	two and a half
2/75	two seventy fifths
9/11	nine elevenths
10/28	ten twenty eighths
7/15	seven fifteenths
8/9	eight ninths
14/15	fourteen fifteenths
29/30	twenty nine thirtieths
1997/8	one thousand nine hundred ninety seven eighths
24/7	twenty four sevenths
20/15	twenty fifteenths
96/50	ninety six fiftieths
1/3	one third
2/3	two thirds
24/7	twenty four sevenths
3/21	three twenty firsts
2 97/98	two and ninety seven ninety eighths
6/19	six nineteenths
2/5	two fifths
1/2	one half
1/2	one half
9/11	nine elevenths
1/185	one one hundred eighty fifth
1/14	one fourteenth
2/29	two twenty ninths
3½	three and a half
89/133	eighty nine one hundred thirty thirds
6/19	six nineteenths
169/4522	one hundred sixty nine four thousand five hundred twenty seconds
3/10	three tenths
9000/500	nine thousand five hundredths
4/6	four sixths
37/4	thirty seven quarters
9001/14001	nine thousand one fourteen thousand firsts
20/20	twenty twentieths
1/16	one sixteenth
2000/400	two thousand four hundredths
2000/400	two thousand four hundredths
50/50	fifty fiftieths
5/13	five thirteenths
10/6	ten sixths
2 1/2	two and a half
1872/171	one thousand eight hundred seventy two one hundred seventy firsts
18/36	eighteen thirty sixths
1288/89	one thousand two hundred eighty eight eighty ninths
2011/262	two thousand eleven two hundred sixty seconds
2½	two and a half
6/2011	six two thousand elevenths
1891/2	one thousand eight hundred ninety one halves
1/43	one forty third
3/51	three fifty firsts
60/180	sixty one hundred eightieths
1 1/2	one and a half
24/1	twenty four over one
3/4	three quarters
1807/1	one thousand eight hundred seven over one
5/42	five forty seconds
12/9	twelve ninths
7/2009	seven two thousand ninths
18/36	eighteen thirty sixths
24/1090	twenty four one thousand ninetieths
14/32	fourteen thirty seconds
7/5	seven fifths
25/2004	twenty five two thousand fourths
2012/34	two thousand twelve thirty fourths
10,000/20,000	ten thousand twenty thousandths
2/1990	two one thousand nine hundred ninetieths
2/2011	two two thousand elevenths
425/2008	four hundred twenty five two thousand eighths
584/2009	five hundred eighty four two thousand ninths
9/27	nine twenty sevenths
83/100	eighty three one hundredths
8/10	eight tenths
57/58	fifty seven fifty eighths
1/142	one one hundred forty second
1/17	one seventeenth
9/15	nine fifteenths
29/2	twenty nine halves
1/8	one eighth
⅓	one third
9/11	nine elevenths
22624 / 23	twenty two thousand six hundred twenty four twenty thirds
1/4	one quarter
1/5	one fifth
1/12	one twelfth
1/1	one over one
1/8	one eighth
2/4	two quarters
243/2014	two hundred forty three two thousand fourteenths
4/4	four quarters
15/15	fifteen fifteenths
2009/712	two thousand nine seven hundred twelfths
2/55	two fifty fifths
2/77	two seventy sevenths
6106/2002	six thousand one hundred six two thousand seconds
1943/4	one thousand nine hundred forty three quarters
8½	eight and a half
5/1	five over one
41 / 42	forty one forty seconds
4/11	four elevenths
5/24	five twenty fourths
90/2612641	ninety two million six hundred twelve thousand six hundred forty firsts
2/3	two thirds
3½	three and a half
3/27	three twenty sevenths
24/25	twenty four twenty fifths
2 1/2	two and a half
84/100	eighty four one hundredths
7/10	seven tenths
2/3	two thirds
16/3878	sixteen three thousand eight hundred seventy eighths
9/11	nine elevenths
9/10	nine tenths
1776/77	one thousand seven hundred seventy six seventy sevenths
3/4	three quarters
3/4	three quarters
18/36	eighteen thirty sixths
15/1536	fifteen one thousand five hundred thirty sixths
4/76	four seventy sixths
